,text,sentiment
20, USERID  USERID  USERID  USERID  USERID  USERID lascivious teen gets her tight pussy fucked doggy style URL  USERID ,1
21, USERID  USERID  USERID  USERID  USERID asian geisha giving blowjob to tied up guy URL  USERID ,0
22, USERID  USERID  USERID  USERID USERID  USERID  USERID  USERID are you telling a story using emojis or something  USERID btw youre hella nice amp funny  USERID ,1
23, USERID  USERID  USERID  USERID USERID reblog 4 ℱℴℓℓℴωs cumswallowingwhore right where daddy wants it now stick out… URL  USERID retweet 4more  USERID ,0
24, USERID  USERID  USERID  USERID USERID reblog 4 ℱℴℓℓℴωs thebestblowjobgifs the best blowjob gifs elizabeth bentley… URL  USERID retweet 4more  USERID ,0
25, USERID  USERID  USERID  USERID ellie goulding  USERID is such a sexy hero at coachella gtgt URL gtgtrt  USERID ,0
26, USERID  USERID  USERID 13  USERID  USERID  USERID  USERID japanese cute girl gets fucked dwnld URL URL  USERID ,0
27, USERID  USERID  USERID USERID drives to spar to buy a wine corkscrew ”  USERID ,0
28, USERID  USERID  USERID USERID where the fuck is alison  USERID ,1
29, USERID  USERID  USERID ass  USERID USERID URL mommy with a fat oiled up ass sucks cock URL  USERID ,0
30, USERID  USERID  USERID blonde bombshell  USERID brand new  USERID USERID  USERID south van loc  USERID 19  USERID  USERID hello my name is ashley im  USERID URL  USERID ,0
31, USERID  USERID  USERID christianity is narrow 5 bil non christians go to hell fundamentalist antiscience amp women amp brutal crusades  USERID ,1
32, USERID  USERID  USERID conservative ministers seek to play down camerons thirdterm bombshell… URL  USERID ,1
33, USERID  USERID  USERID play on these dope visuals from stcyr tha studio ft chelly jane off his crown amp coke ep URL  USERID saulkta  USERID ,0
34, USERID  USERID  USERID play on these dope visuals from stcyr tha studio ft chelly jane off his crown amp coke ep URL  USERID svpkiran  USERID ,0
35, USERID  USERID  USERID play on these dope visuals from stcyr tha studio ft chelly jane off his crown amp coke ep URL …  USERID ,0
36, USERID  USERID  USERID time out sport  USERID consumers growth trends is seen as sparse during mar 2015 URL  USERID ,0
37, USERID  USERID 1 hello kitty iron on heat transfer glitter diy sticker hot chart  USERID USERID fabric iot23 URL  USERID ,0
38, USERID  USERID 100 authentic  USERID  USERID mitchell amp ness homecoming jersey sz 44 large URL  USERID  USERID  USERID ,0
39, USERID  USERID USERID  USERID  USERID USERID  USERID USERID  USERID USERID  USERID we work too damn hard for this just to give it up now  USERID ,1
40, USERID  USERID USERID  USERID USERID  USERID USERID with 10 million dollars you can buy a new pussy  USERID ,0
41, USERID  USERID USERID  USERID USERID hello via URL  USERID ,0
42, USERID  USERID USERID bitches think its cute and okay when they nigga call them a bitch  USERID thats one thing i cant and wont tolerate  USERID ,1
43, USERID  USERID USERID bwahahaha well they might never hear it again so what the fuck  USERID ,1
44, USERID  USERID USERID dick is to big  USERID ,1
45," USERID  USERID USERID gimme the goat  USERID USERID which wld you rather screw for 1bn

a 6month old baby a rotten corpse or a goat  USERID ",1
46, USERID  USERID USERID hope jenkins will be fit for  USERID USERID clash patchell and allen out  USERID USERID URL URL  USERID ,0
47, USERID  USERID USERID it aint shit  USERID to call a hit  USERID  USERID ,1
48, USERID  USERID USERID this bitch so aggy daw ”  USERID ,1
49, USERID  USERID USERID with repostapp⁰⁰the what could have been hahaha  USERID dongdantes nahh… URL  USERID ,0
50, USERID  USERID USERID you  USERID USERID in russia talking shit motherfucker no other subject two months talking about russia  USERID USERID fuck fuck you russia  USERID ,1
51, USERID  USERID USERID youre so important and somebody out there loves you more than youll ever know justin wants to fuck you btw  USERID ,1
52, USERID  USERID USERID “chanearia they can atleast build a popeyes in naples like damn is that too much to ask for ”  USERID ,1
53, USERID  USERID USERID “nochill2k15 never had a chance  USERID URL bitch you could neva i shoot herass  USERID USERID  USERID ,1
54, USERID  USERID big booty ride black cock  USERID URL  USERID  USERID  USERID  USERID ,0
55, USERID  USERID big dicks with rebeca  USERID  USERID  USERID  USERID  USERID URL URL  USERID ,0
56, USERID  USERID big dicks with strip  USERID  USERID  USERID  USERID URL URL  USERID ,0
57, USERID  USERID big zoowap lmk if u wanna be on  USERID you seem chill and i fucks with that  USERID  USERID ,0
58, USERID  USERID brunette with analslut  USERID  USERID  USERID  USERID URL URL  USERID ,0
59, USERID  USERID damn nigga you act like you dont know niggas no more where you been  USERID  USERID ,1
60, USERID  USERID day6 its not always funny its windy like hell URL  USERID ,1
61, USERID  USERID hello kitty car air freshener fragrance sanrio kt443 red wild berry  USERID USERID  USERID USERID b68b URL  USERID ,0
62, USERID  USERID high salary in guangdongall levels teaching position URL  USERID ,0
63, USERID  USERID honestly didnt look very good at all on paper but i thought it ended up being a damn good show  USERID USERID some awesome moments  USERID ,0
64, USERID  USERID i am a shit  USERID ,1
65, USERID  USERID i forgot to text you back  USERID my bad but you cool cute and always talking shit lol  USERID ,0
66, USERID  USERID i have hw but screw that  USERID ,1
67, USERID  USERID i miss you and we be doing some crazy shit  USERID  USERID ,1
68, USERID  USERID i remember you from that summer camp shit  USERID ,1
69, USERID  USERID i think i see you around and shit but you  USERID  USERID ,1
70, USERID  USERID i will fucking end her  USERID ,1
71, USERID  USERID idk you  USERID but hello  USERID  USERID ,1
72, USERID  USERID mens mitchell amp ness cooperstown boston red sox ted williams sewn jersey 52 euc  USERID USERID 69 URL  USERID ,0
73, USERID  USERID nail dryer machine hand foot uv light lamp beauty salon spa manicure gel shellac  USERID USERID URL URL  USERID ,0
74, USERID  USERID oklahoma city thunder mitchell and ness snapbacks lot of 3 bnwt URL  USERID  USERID  USERID ,1
75, USERID  USERID rahquisebowen aa wack amp expensive as hell anyways lol  USERID ,1
76, USERID  USERID rt  USERID USERID stud gave me some pussy so good she told me to call her daddy and i did and she kegeled hard as fuck”  USERID ,0
78, USERID  USERID the fuckboy that comforts you with two boxes of pizza oreos amp nutella after you had a bad break up  USERID  USERID michael  USERID ,0
79, USERID  USERID voting takes os much fuckingt ime  USERID ,1
80, USERID  USERID when bitches commenting on my photos on any social network  USERID i dont comment or like their comment  USERID USERID to leadem on  USERID ,1
81, USERID  USERID word of the day god damn motherfucking shitty fucking shit fuckers URL  USERID ,0
82, USERID  USERID you a bitch but you knew dat  USERID ,1
83, USERID  USERID you funny  USERID cool  USERID can dress  USERID got shoe game be talking shit to me i fwu tho  USERID ,0
84, USERID  USERID you seem cool  USERID stop being a stranger shitty  USERID  USERID ,0
85, USERID  USERID your hair is fucking life omg  USERID  USERID ,0
86, USERID URL our online gift shop also features skillfully hand painted catholic figurines  USERID ,0
87," USERID USERID 

 
hello sunshine
it would mean so much if you followed me
you make me so happy 
ilysm

x5168  USERID ",0
88," USERID USERID 

hello mlove  USERID USERID › ·̮ ‹
hope you had a 
good day if it doesnt
bother you could
you follow me amp
hellokittyhes ˎˊ˗7709  USERID ",0
89," USERID USERID 

hello mlove  USERID USERID › ·̮ ‹
hope you had a 
good day if it doesnt
bother you could
you follow me amp
hellokittyhes ˎˊ˗7717  USERID ",0
90," USERID USERID 

ringtailed lemur 

if i cant find any fruit or a sparse dry forest im headed to abbys URL  USERID ",0
91," USERID USERID 

shit wipe it off douche 
at least dont be a mean bitch

ps stay a filthy one  USERID  USERID ",0
92," USERID USERID 
follow my friends 

shitsjauregui  USERID USERID make me happy 


votefifthharmony  USERID 6  USERID ",0
93," USERID USERID 
gmos are killing
not thrilling our appetites
the resulting fools stools
are unnecessary shitescme URL  USERID ",1
94," USERID USERID 
he has a lil dick  USERID ",1
95," USERID USERID 
hello
would you follow me
i love you the most i can
 79  USERID ",0
96," USERID USERID 
hello h  USERID i hope youre well
ty for all you did
ur heart is of gold
you make me so happy
mind following me ʚɞ xx26072  USERID ",0
97," USERID USERID 
hello it would make me happy if you were to follow memind making that happen hope youre well b  USERID ",0
98," USERID USERID 
hello it would make me happy if you were to follow memind making that happen hope youre well q  USERID ",0
99," USERID USERID 
hope youre doing well
always remember that youre 
hella rad amp that 
i love you loads
keep smiling  USERID xx29  USERID ",0
100," USERID USERID 
listen fuck face the patriarchy told men to man up amp the patriarchy still thinks that way amp u still think that way  USERID ",1
101," USERID USERID 
lol  USERID USERID i just want people to come laugh and like my shit then leave me alone

d  USERID ",1
102," USERID USERID 
mobd deep u poopood tang wu cartoond masks plies goons except on my ranch monkeys dished holdup screw tacklebox arsenal  USERID ",0
103," USERID USERID 
nialler
this is a shit moment for me  USERID follow me please  USERID ",1
104," USERID USERID 
send
us
a
boom
please 
ouathefuck  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID y  USERID ",0
105," USERID USERID 
stop being a lazy bitch and actually do it  USERID ",0
106," USERID USERID 
votelittlemixuk 
hello girls could you please follow me
i love you so much 

x33  USERID ",0
107," USERID USERID 
votelittlemixuk 
hello girls could you please follow me
i love you so much 

x48  USERID ",0
108," USERID USERID 
votelittlemixuk 
hello girls could you please follow me
i love you so much 

x70  USERID ",0
109," USERID USERID 
yes i am
enoreebaptistworshipleader
tenor1sectionleader
statechamp
sohumble
mitchell 3 jesse 0  USERID ",0
114," USERID USERID  USERID 
twitter  USERID because its more trouble than its worth to say cunt on facebook when auntie pat follows you  USERID ",1
115, USERID USERID  USERID  USERID USERID has the best damn dropkick in the business  USERID USERID  USERID USERID  USERID ,1
116, USERID USERID  USERID  USERID USERID i just shit my pants  USERID USERID  USERID ,1
117, USERID USERID  USERID  USERID USERID whats above in your own tweet once a day to vote for your fucking bella  USERID ,0
118, USERID USERID  USERID  USERID USERID yea folks niggas gone be like damn where folks cop dat shit at  USERID  USERID ,0
119, USERID USERID  USERID  USERID but i aint fuckin witchu today i refuse  USERID  USERID ,1
120, USERID USERID  USERID  USERID the problem  USERID shellywayne feat mani x buck baby official video  USERID URL  USERID ,0
121, USERID USERID  USERID  USERID wat bitch  USERID  USERID ,0
122," USERID USERID  USERID USERID 
fuck obama URL  USERID ",0
123," USERID USERID  USERID USERID 
starting to look like the idea is to let the shit hit the fan so then the impetus for change will come from below  USERID ",1
124," USERID USERID  USERID USERID 
that bitch was fighting for that ugly idiot n that asswhole started it first  USERID ",1
125, USERID USERID  USERID USERID  USERID  USERID  USERID how many bitches do yo nigga fuck with besides you  USERID  USERID ask him funniest question i seen all day  USERID  USERID ,1
126, USERID USERID  USERID USERID  USERID  USERID USERID hello all good luck  USERID ,0
127, USERID USERID  USERID USERID  USERID  USERID USERID so heated that im bout to sock the shit out of you 2morrow at school for no reason  USERID  USERID ,1
128, USERID USERID  USERID USERID  USERID URL  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID what the fuckreckless  USERID ,1
129, USERID USERID  USERID USERID  USERID URL wow you are so fucking ugly please do as all favour and go kill yourself  USERID ,1
130," USERID USERID  USERID USERID  USERID USERID 

is that a split gooch or a minge  USERID jammy fucker  USERID ",0
131," USERID USERID  USERID USERID  USERID USERID 
yes mooshell is un patriotic  USERID ",1
132," USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 

bet her name is dee 
deefuckinglicious 

  USERID ",0
133, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID btw u tlk shit but didnt we beat u on bio uplink 3 on 4  USERID ,0
134, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID how about we all grow the fuck up and stop  USERID ,0
135, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID i always been a fuckin gangsta nigga URL  USERID ,1
136, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID ive seen camel toes bigger than  USERID USERID  USERID USERID dick  USERID ,0
137, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID listened 2 a couple fuckin hilarious  USERID ,0
138, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID this is a fucking disgrace  USERID ,1
139, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID to watch he so the 15 didnt mean shit  USERID ,0
140," USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID dick rider i know
rrahys  USERID ",0
141, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID at the same time lies damn lies and statistics food for thought  USERID ,1
142, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID aw damn  USERID  USERID ,0
143, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID drop it then give them fucking hell for real i want them to die  USERID ,0
144, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID hella is like my favorite word next to dank  USERID ,1
145, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID hello daniel and hello to springkitty  USERID  USERID ,0
146, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID its true though lmao look at the skank for christs sakes  USERID ,0
147, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID no argument here unanimous consensus is sagarika ghosh is a bitch  USERID ,1
148, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID obviously you blindly follow those other retards  USERID ,1
149, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID what retards  USERID ,0
150, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID yeah u are a fucking pussy puppet nerd  USERID ,1
151, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 1 phat shaved py damn its so hm  USERID ,0
152, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID bitch gtf for i bat tf out you amp send you for cousin  USERID ,1
153, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID blah blah same old shit  USERID ,0
154, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID bloody hell 80 wow thanks for this btw  USERID  USERID ,0
155, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID damn  USERID ,0
156, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID dont worry arsenal will be 2nd  USERID ,0
157, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fat of shit  USERID ,0
158, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID haha tipsy feminists fucking hate you have you been called an mra yet  USERID ,1
159, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID hahaha  USERID what the fuck why cant they face their own fights  USERID  USERID ,1
160, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID he doesnt need to have fucking ideas  USERID USERID hes in opposition amp election over a year away  USERID ,1
161, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID hello earthlings  USERID  USERID USERID  USERID ,0
162, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID holy shit omg  USERID USERID  USERID USERID  USERID USERID i love you morgan  USERID USERID  USERID USERID  USERID ,0
163, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID i could suck 3 dicks and school you on politics  USERID ,0
164, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID im always pissed  USERID ,1
165, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID man im pissed dropped almost 300 places in calculations  USERID ,1
166, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID only to realise u shoulda listened to everyone thats had her it fucking stinks  USERID ,1
167, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID raj you told me to go short you little wanker what the fuck is this  USERID ,1
168, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID shit crazy  USERID ,0
169, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID stfu garvey well run out of character pussy  USERID ,0
170, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID thats what im sayin bro shits getting hype  USERID ,1
171, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID you wont even know youd met stanley hes a stealthy little fucker  USERID ,1
172, USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID that wont real that shit goat status  USERID ,1
173, USERID USERID  USERID USERID  USERID USERID  USERID USERID absolutely given that jünger was a bit of a nazi i just wanted to avoid a shitstorm  USERID  USERID ,0
174, USERID USERID  USERID USERID  USERID USERID  USERID USERID bitch shut up i was answering his question  USERID ,1
175, USERID USERID  USERID USERID  USERID USERID  USERID USERID but its actually so funny cause harrys face is all like goddamn liam  USERID  USERID ,1
176, USERID USERID  USERID USERID  USERID USERID  USERID USERID cie dong aw aw ‾̣‾̣cie  USERID ,0
177, USERID USERID  USERID USERID  USERID USERID  USERID USERID cool story my dude nobody gives a fuck  USERID ,1
178, USERID USERID  USERID USERID  USERID USERID  USERID USERID cute boys have no business fucking girls  USERID ,1
179, USERID USERID  USERID USERID  USERID USERID  USERID USERID damn daryl dixon is about play rambo go daryl go daryl  USERID  USERID ,0
180, USERID USERID  USERID USERID  USERID USERID  USERID USERID damn david fucking up  USERID ,1
181, USERID USERID  USERID USERID  USERID USERID  USERID USERID damn got me  USERID ,0
182, USERID USERID  USERID USERID  USERID USERID  USERID USERID didint choke wasent cosentrating cause have ppl bitching in my ear next to me  USERID ,1
183, USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck  USERID ,0
184, USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck me  USERID  USERID ,1
185, USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck yeah  USERID ,0
186, USERID USERID  USERID USERID  USERID USERID  USERID USERID fucking hell michael why you do this to me  USERID ,1
187, USERID USERID  USERID USERID  USERID USERID  USERID USERID good shit  USERID ,0
188, USERID USERID  USERID USERID  USERID USERID  USERID USERID goodnight faggot niggers  USERID leg  USERID ,0
189, USERID USERID  USERID USERID  USERID USERID  USERID USERID haha fuck it we could try and hel yeah  USERID USERID  USERID ,0
190, USERID USERID  USERID USERID  USERID USERID  USERID USERID have you even read the fucking bill  USERID ,1
191, USERID USERID  USERID USERID  USERID USERID  USERID USERID he makes music i dont evenohmyfucki dont want to live on this planet anymore  USERID ,0
192, USERID USERID  USERID USERID  USERID USERID  USERID USERID hell nah  USERID we acting up  USERID ,1
193, USERID USERID  USERID USERID  USERID USERID  USERID USERID hell ya  USERID  USERID ,0
194, USERID USERID  USERID USERID  USERID USERID  USERID USERID hes a fraud  USERID a true rip off cockney c just look at the shit he serves up  USERID ,1
195, USERID USERID  USERID USERID  USERID USERID  USERID USERID hes enjoying all those pickles screws my face up laughing  USERID ,0
196, USERID USERID  USERID USERID  USERID USERID  USERID USERID hm fuck off  USERID ,1
197, USERID USERID  USERID USERID  USERID USERID  USERID USERID holy fuck is dis real  USERID ,1
198, USERID USERID  USERID USERID  USERID USERID  USERID USERID holy shit i loved backstage brawl closest to they live as anything ive seen  USERID ,0
199," USERID USERID  USERID USERID  USERID USERID  USERID USERID hot
nice big cock p  USERID ",0
200, USERID USERID  USERID USERID  USERID USERID  USERID USERID i dont give a shit  USERID ,1
201, USERID USERID  USERID USERID  USERID USERID  USERID USERID i genuinely think hes retarded and schizophrenic  USERID ,1
202, USERID USERID  USERID USERID  USERID USERID  USERID USERID i literally point and that shit happens  USERID  USERID ,0
203, USERID USERID  USERID USERID  USERID USERID  USERID USERID ikr they too pussy to man up  USERID ,1
204, USERID USERID  USERID USERID  USERID USERID  USERID USERID im honestly pissed he doesnt do anything im sorry  USERID ,1
205, USERID USERID  USERID USERID  USERID USERID  USERID USERID im marking the fuck out for this  USERID ,1
206, USERID USERID  USERID USERID  USERID USERID  USERID USERID it was ok for 10s of yrs to beat rape and spit on us but 1 bitch says fuck yall  USERID ,1
207, USERID USERID  USERID USERID  USERID USERID  USERID USERID just like you bitch  USERID ,1
208, USERID USERID  USERID USERID  USERID USERID  USERID USERID lmfao hell naww  USERID found me nep  USERID ,1
209, USERID USERID  USERID USERID  USERID USERID  USERID USERID me amp daisy arent banging pat  USERID lmao smhwell why the fuck not  USERID ,0
210, USERID USERID  USERID USERID  USERID USERID  USERID USERID mos broke the elm house story if you read the shit mark says youd be waiting years  USERID ,1
211, USERID USERID  USERID USERID  USERID USERID  USERID USERID need me an ol ugly ass honor roll bitch  USERID ,1
212, USERID USERID  USERID USERID  USERID USERID  USERID USERID now u fucked up  USERID ,1
213, USERID USERID  USERID USERID  USERID USERID  USERID USERID of fucking course  USERID ,0
214, USERID USERID  USERID USERID  USERID USERID  USERID USERID oh wait i only beat my dick these days  USERID ,0
215, USERID USERID  USERID USERID  USERID USERID  USERID USERID ok bitch you try going through all these to prove a point  USERID ,1
216, USERID USERID  USERID USERID  USERID USERID  USERID USERID ok gandhi im saying it doesnt fucking matter this aint the un convention on kindness  USERID ,1
217, USERID USERID  USERID USERID  USERID USERID  USERID USERID omg t she called you shit you must be heart broken  USERID ,1
218, USERID USERID  USERID USERID  USERID USERID  USERID USERID our band is shit  USERID  USERID ,1
219, USERID USERID  USERID USERID  USERID USERID  USERID USERID she only fucks with channel  USERID  USERID ,1
220, USERID USERID  USERID USERID  USERID USERID  USERID USERID so like if you tryna slide thru the 6 maybe with your woes i know how that shit go  USERID ,0
221, USERID USERID  USERID USERID  USERID USERID  USERID USERID so that sharing clothes shit not true  USERID ,1
222, USERID USERID  USERID USERID  USERID USERID  USERID USERID soundtrack film viva jkt48hahaplay dongriver 3  USERID ,0
223, USERID USERID  USERID USERID  USERID USERID  USERID USERID than usualamp sometimes like all other clubs there are just arseholes o  USERID USERID its worse atm  USERID ,1
224, USERID USERID  USERID USERID  USERID USERID  USERID USERID that night everyone was absolutely shit faced  USERID  USERID ,1
225, USERID USERID  USERID USERID  USERID USERID  USERID USERID theyre just sad because their egos are probably bigger than their dicks  USERID  USERID ,1
226," USERID USERID  USERID USERID  USERID USERID  USERID USERID this fuckin god stuff babe

xnotgoodasucockthoubabex  USERID ",0
227, USERID USERID  USERID USERID  USERID USERID  USERID USERID this is about u pussy  USERID ,0
228, USERID USERID  USERID USERID  USERID USERID  USERID USERID ur mother fucking india doesnt have toilets even u assholes shit on streets u bastards  USERID ,1
229, USERID USERID  USERID USERID  USERID USERID  USERID USERID vote greens last  USERID they are full of shit  USERID ,1
230, USERID USERID  USERID USERID  USERID USERID  USERID USERID well wherever she lands her future employers will know shes a pile of shit  USERID ,1
231, USERID USERID  USERID USERID  USERID USERID  USERID USERID whats that you want a good rough fucking over your desk  USERID ,1
232, USERID USERID  USERID USERID  USERID USERID  USERID USERID who knows everyones always tough on twitter talkin shit to women tho smh  USERID ,1
233, USERID USERID  USERID USERID  USERID USERID  USERID USERID yeawhen americans more worried about who bakes your damn wedding cake than gays being murdered  USERID ,1
234, USERID USERID  USERID USERID  USERID USERID  USERID USERID yes hes serious too damn serious for his own good realizing mistakes is gonna be painful for him  USERID ,1
235, USERID USERID  USERID USERID  USERID USERID  USERID USERID you just wanna see him lick his fingers hell we all do URL  USERID ,1
236, USERID USERID  USERID USERID  USERID USERID  USERID he got hell of defense  USERID ,1
237, USERID USERID  USERID USERID  USERID USERID  USERID hell yeah dude wwe fan fo life  USERID ,0
238, USERID USERID  USERID USERID  USERID USERID a media server could have a vm server for projects idk i have a bunch for screwing around  USERID ,0
239, USERID USERID  USERID USERID  USERID USERID ah thank god finally ive been just walking into shit in the dark all the timenow ill just needle my eyes  USERID ,1
240, USERID USERID  USERID USERID  USERID USERID am a fucking boxer and karate brown belt yes  USERID i need a coach though  USERID ,1
241, USERID USERID  USERID USERID  USERID USERID and michelle paviour  USERID shes got a story to tell  USERID ,0
242, USERID USERID  USERID USERID  USERID USERID arbys is that true shit  USERID ,1
243, USERID USERID  USERID USERID  USERID USERID are you stupid do you even know where the word nigger originates from ignorant fool  USERID ,1
244, USERID USERID  USERID USERID  USERID USERID at least i can get one unlike you and ill be able to he a job and im still a guy bitch  USERID ,1
245, USERID USERID  USERID USERID  USERID USERID aw thats like a ding dong fairytale  USERID ,1
246, USERID USERID  USERID USERID  USERID USERID bitch you aint down  USERID ,0
247, USERID USERID  USERID USERID  USERID USERID bro its not even worth it  USERID USERID you know you will get these dirty as hell  USERID ,1
248, USERID USERID  USERID USERID  USERID USERID cant fucking deal  USERID  USERID ,1
249, USERID USERID  USERID USERID  USERID USERID chillout i said what i hada say ian in shit im just bein  USERID  USERID that back n forth cool but ooc shit nah  USERID ,0
250, USERID USERID  USERID USERID  USERID USERID come meet me halfway no bitch  USERID ,0
251, USERID USERID  USERID USERID  USERID USERID cunts  USERID ,0
252, USERID USERID  USERID USERID  USERID USERID damn  USERID ,0
253, USERID USERID  USERID USERID  USERID USERID damn it cameron  USERID ,0
254, USERID USERID  USERID USERID  USERID USERID damn real shit though  USERID ,0
255, USERID USERID  USERID USERID  USERID USERID damn thats ur ex stop  USERID ,0
256, USERID USERID  USERID USERID  USERID USERID damn took you 30 secs to reply though super fast  USERID ,1
257, USERID USERID  USERID USERID  USERID USERID does he really believe his own shite hes not even an mp as of midnight sat go home dad youre drunk  USERID  USERID ,1
258," USERID USERID  USERID USERID  USERID USERID dude maturity is admitting you fucked up for saying you were a girl on the internet
grow the fuck up  USERID ",1
259, USERID USERID  USERID USERID  USERID USERID everybody dicks around and when you tell em they fucked up they throw a tantrum  USERID ,1
260, USERID USERID  USERID USERID  USERID USERID foles still didnt do shit dont know why youre so hype about him hes a backup qb  USERID ,1
261, USERID USERID  USERID USERID  USERID USERID fuck  USERID ,0
262, USERID USERID  USERID USERID  USERID USERID fuck me if i was her id cheat on myself  USERID ,1
263, USERID USERID  USERID USERID  USERID USERID fuck me right youre so talented  USERID  USERID ,0
