,text,curseword,curseWordCatg,date,sentiment
12637,  USERID USERID lmao   USERID  USERID USERID yall thought i was lying wen i said good dick will humble thee shit outta a bitch  USERID ,bitch,1,Oct2011,0
11250,  USERID USERID my bitch  USERID USERID finally got a twitter lt w0ot w0ot  USERID ,bitch,1,Oct2011,0
1753,  USERID USERID only bitch made niggas get attitudes  USERID ,bitch,1,Oct2011,1
33315,  USERID USERID pic 1007 donghae going to music bank cr URL  USERID ,dong,1,Oct2011,0
772,  USERID USERID still aint turned the shit down exactly y i dnt need to share rooms wit people cuz in a min shit gon fly across this room  USERID ,shit,7,Oct2011,1
27746,  USERID USERID •͡  USERID USERID з•͡ ̮  USERID USERID •͡  USERID  USERID USERID ¬͡͡˛ ¬͡͡”‎​  USERID hanamut jangan gitu donggayo semangat  USERID USERID ˆˆ ˆˆ  USERID rozanessa ga semangat  USERID ,dong,1,Oct2011,0
34053,  USERID clean shit extra mean   USERID ,shit,7,Oct2011,1
11341,  USERID fake as hell around some people   USERID ,hell,2,Oct2011,1
34950,  USERID fuck an arod  i swear he gets paid  for what nobueno  USERID ,fuck,7,Oct2011,1
5744,  USERID »  USERID USERID  USERID you girl got clas  USERID  USERID  USERID » justineletitiathank you  USERID ,tit,1,Oct2011,0
13224,  esto es una shit   USERID ,shit,7,Oct2011,2
36948,  guarantee you a word series title  any yankee player  USERID  USERID  USERID ,tit,1,Oct2011,1
12949,  my two best friends from junior high turned out to be some of the fakest bitches i know to date  USERID  USERID ,bitch,1,Oct2011,0
3508, 15  USERID USERID   USERID USERID  USERID  buy it all  USERID USERID   USERID USERID bitch musik 4 poor lil rich girl URL via  USERID USERID  USERID ,bitch,1,Oct2011,0
19774, 2 my nigga  USERID USERID  USERID USERID he killed dat shit  USERID  USERID ,shit,7,Oct2011,0
2320, 306  sexy and horny latino anal pounding  added by rawpapigay sexy and ho URL  USERID  USERID ,gay,1,Oct2011,0
6210, USERID    USERID mokdong baseball stadium w  USERID USERID  USERID USERID URL  USERID ,dong,1,Oct2011,0
23625, USERID   USERID USERID  USERID USERID we better beat dem  cuz dem cougarss gonna be too damn  USERID   USERID ,damn,2,Oct2011,1
7373, USERID   USERID USERID all his shit on shuffle  USERID ,shit,7,Oct2011,0
34138, USERID   USERID USERID almost out of fruity pebblesoh shit motherfucka guide damn  USERID ,damn,2,Oct2011,0
30035, USERID   USERID USERID fuck that new girl that you love so bad  USERID ,fuck,7,Oct2011,1
10748, USERID   you are named aftered a liquor or some shit yo mama made up like starkeshia or deqaurmacelltwtf  USERID ,shit,7,Oct2011,0
38511," USERID  USERID 
 instantfollowback 
gotheradickted  USERID USERID  USERID USERID  USERID USERID 
 500aday 
  
tfb  USERID  USERID  USERID ",dick,1,Oct2011,0
33100, USERID  USERID   USERID “paramedickms  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID    USERID  USERID URL  USERID ,dick,1,Oct2011,0
167, USERID  USERID  USERID  USERID  USERID  USERID  USERID USERID  USERID USERID  i hate when bitches get tough after they already got bitched  USERID lbs   USERID ,bitch,1,Oct2011,1
18573, USERID  USERID  USERID  USERID USERID  USERID  USERID  USERID USERID klo rw  USERID  USERID USERID lowongan sudah penuhh haha  USERID USERID mau dong jadi  USERID nya haha  USERID ,dong,1,Oct2011,0
29771, USERID  USERID  USERID  USERID USERID the weather is too nice out to stay in its cocktail time tonight  USERID USERID  USERID ,cock,1,Oct2011,1
5837, USERID  USERID  USERID  USERID aka the lp of 2012 sonarcousin dont be giving it that title hahahar  USERID  USERID ,tit,1,Oct2011,0
10319, USERID  USERID  USERID  USERID cette pétition pour exiger la libération du journaliste   USERID USERID URL  USERID USERID  USERID  USERID  USERID ,tit,1,Oct2011,0
6437, USERID  USERID  USERID  USERID get more price and compare of clearance mens boat shoesyou will save URL  USERID ,hoe,1,Oct2011,0
4453, USERID  USERID  USERID  USERID national institute of open schooling recruitment  noida  october 2011 URL  USERID ,tit,1,Oct2011,0
7807, USERID  USERID  USERID 20111006 cho hanseung9p vs kang dongyun9p wr  USERID URL  USERID ,dong,1,Oct2011,0
30149, USERID  USERID  USERID USERID  USERID  USERID USERID aye fuck yo school i went to jsu  USERID ,fuck,7,Oct2011,0
4919, USERID  USERID  USERID USERID  USERID  USERID USERID mau  USERID  USERID USERID  USERID  USERID ya bantu  USERID juga dongd  USERID ,dong,1,Oct2011,0
16159, USERID  USERID  USERID USERID  USERID  USERID USERID menikmati indahnya ngayoguakaa dpagi hari  USERID ,gay,1,Oct2011,0
31895, USERID  USERID  USERID USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  to da lesbians dat dont eat pussy yall  USERID  USERID ,pussy,1,Oct2011,0
10336, USERID  USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID lets keep in touch about it so we can plan shit  USERID ,shit,7,Oct2011,0
6633, USERID  USERID  USERID USERID  USERID USERID  USERID USERID that bitch got mohawk sideburns tho 00 gt  USERID USERID  USERID ,bitch,1,Oct2011,0
28331, USERID  USERID  USERID USERID  USERID USERID i got some more of the monoply things  this muthafucka foreal  USERID ,fuck,7,Oct2011,0
16918, USERID  USERID  USERID USERID  USERID USERID u know how i do pops ion fuck wit fake pussys  »  USERID  USERID  USERID ,pussy,1,Oct2011,0
4264, USERID  USERID  USERID USERID aiclereptitle  USERID URL  USERID ,tit,1,Oct2011,0
23164, USERID  USERID  USERID USERID avi got a nigga sweating n shit lol  USERID ,shit,7,Oct2011,0
2857, USERID  USERID  USERID USERID bed nowfuck all yall  USERID ,fuck,7,Oct2011,1
6295, USERID  USERID  USERID USERID cest lhistoire dun mec imeu titre de libé  URL  USERID ,tit,1,Oct2011,0
5868, USERID  USERID  USERID USERID for retardsyes dawleen   USERID  USERID USERID do i have to put p or lol at d end of a tweet to show dat its a joke  USERID ,retard,4,Oct2011,0
27147, USERID  USERID  USERID USERID hay niggas use bitches for pussy and bitches use niggas for money shrug im glad im  URL  USERID ,bitch,1,Oct2011,0
24361, USERID  USERID  USERID USERID her tits are horrid  USERID  USERID USERID all these tumblr women  USERID USERID URL  USERID ,tit,1,Oct2011,1
16904, USERID  USERID  USERID USERID i like its hat  USERID  USERID USERID smh peace yall  USERID  USERID USERID this shit just ruined my whole night URL  USERID ,shit,7,Oct2011,1
20939, USERID  USERID  USERID USERID i long dick her like uhn uhn  USERID ,dick,1,Oct2011,0
28130, USERID  USERID  USERID USERID i lost my fuckin id  idk how sigh  USERID ,fuck,7,Oct2011,1
7757, USERID  USERID  USERID USERID in order to live long i shall not marry more than one wife damn  USERID ,damn,2,Oct2011,0
10063, USERID  USERID  USERID USERID life is a hella of a ride  USERID ,hell,2,Oct2011,1
27132, USERID  USERID  USERID USERID lmfaoo fuck off  USERID tkjr1  ̩͡˛ ̩͡   USERID  USERID USERID i love my boyfriend  USERID ,fuck,7,Oct2011,0
32702, USERID  USERID  USERID USERID my bitch  USERID USERID got the fattest ass in here thou twit pic lol  USERID ,bitch,1,Oct2011,0
35143, USERID  USERID  USERID USERID oh  USERID USERID  USERID USERID  hate speech  USERID  USERID USERID you are a racist self hating peace of shit  USERID ,shit,7,Oct2011,1
12876, USERID  USERID  USERID USERID okay hollister ill consider coming back when you pay your damn electricity bill  USERID ,damn,2,Oct2011,1
32837, USERID  USERID  USERID USERID pagi  USERID USERID undang cewe2 kece  USERID USERID dong  USERID  USERID ,dong,1,Oct2011,0
5387, USERID  USERID  USERID USERID pengenku punya cewek kodong tuhan dengarlah doaku ini  USERID ,dong,1,Oct2011,0
3755, USERID  USERID  USERID USERID pretty bitches aint sma lmao  USERID ,bitch,1,Oct2011,1
31491, USERID  USERID  USERID USERID say you swear lol swear you goin to hellnaw bih u is  USERID ,hell,2,Oct2011,1
7082, USERID  USERID  USERID USERID udh penuh mau gmn lg dong   USERID  USERID USERID tp jngan kelelep jg kali   USERID  USERID USERID keleleb mau    USERID  USERID USERID  USERID ,dong,1,Oct2011,0
17767, USERID  USERID  USERID USERID were not a gay interracial couple brighton  USERID  haha i remember that oh gosh URL  USERID ,gay,1,Oct2011,0
17498, USERID  USERID  USERID USERID win a pair of lipstik shoes do you love  USERID USERID as much as we do retweet this message to enter the draw xx  USERID ,hoe,1,Oct2011,0
6255," USERID  USERID  USERID audrey bitoni very great sex scene 
	
	keywords lingeriebigtitsstockingsblow  USERID USERID URL  USERID ",tit,1,Oct2011,0
3490, USERID  USERID  USERID fck all you immature people thinking his death is funny URL  USERID ,f*ck,7,Oct2011,1
1644, USERID  USERID  USERID hello you are find silver clad quaers our site have more silver cla URL  USERID ,hell,2,Oct2011,1
7371, USERID  USERID  USERID if you find deck boat shoes do not waste time to gocheck my sitewe have more deck boat  USERID USERID URL  USERID ,hoe,1,Oct2011,0
5359, USERID  USERID  USERID jazmine leigh gets a big black dick URL  USERID  USERID ,dick,1,Oct2011,0
7368, USERID  USERID  USERID rowan  main laugh in  cocktail pay 2  URL  USERID ,cock,1,Oct2011,0
35350," USERID  USERID  USERID untitled 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID riteshkshetri posted a photo

  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 
  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 

  USERID USERID  URL  USERID  USERID  USERID ",tit,1,Oct2011,0
30176, USERID  USERID  ¬ ¬ ∩suck my dick  USERID  USERID ,dick,1,Oct2011,0
19346," USERID  USERID USERID 
hadiah di sponsori oleh blackberry
kabarsepakbola  USERID ",arse,3,Oct2011,0
28354, USERID  USERID USERID      im no punk bitch  USERID ,bitch,1,Oct2011,1
34311, USERID  USERID USERID    °°     oh you were talking to me im sorry i just cant hear bullshit  USERID ,shit,7,Oct2011,1
21051, USERID  USERID USERID    ·  ·        oh excuse me  just lookin for a fuck to give  USERID ,fuck,7,Oct2011,0
22845, USERID  USERID USERID    ·  ·        oh excuse me  just lookin for a fuck to give ctfu  USERID ,fuck,7,Oct2011,1
17488, USERID  USERID USERID    ·  ·      im still lookin around for my competition  USERID ,tit,1,Oct2011,0
31061, USERID  USERID USERID    ·  ·      oh excuse me  just lookin for a fuck to give  USERID ,fuck,7,Oct2011,0
10460, USERID  USERID USERID    ·  ·      oh excuse me just lookin for a fuck to give  USERID ,fuck,7,Oct2011,0
37512," USERID  USERID USERID    ·  ·   USERID USERID  USERID USERID  USERID USERID       
oh excuse me  just lookin for a fuck to give  USERID ",fuck,7,Oct2011,1
15212, USERID  USERID USERID    ·  ·   USERID USERID  USERID USERID  USERID USERID        USERID USERID oh excuse me  just lookin for a fuck to give  USERID ,fuck,7,Oct2011,1
16226, USERID  USERID USERID    ·  ·         oh excuse me  just looking for a fk to give  USERID ,f**k,7,Oct2011,1
19977, USERID  USERID USERID   USERID    USERID    USERID    USERID    USERID    USERID    USERID    USERID    USERID    USERID    USERID    USERID    USERID  stop now make that mothafucka ha   USERID ,fuck,7,Oct2011,0
15111, USERID  USERID USERID   USERID  USERID USERID  USERID  USERID USERID i respect all single moms dat shit aint easy  USERID ,shit,7,Oct2011,0
35679, USERID  USERID USERID   USERID  USERID USERID  USERID USERID side eye who girl them hoes  USERID lol  USERID ,hoe,1,Oct2011,0
34114, USERID  USERID USERID   USERID  USERID USERID all i do is fuckin pay   USERID ,fuck,7,Oct2011,1
29745, USERID  USERID USERID   USERID  USERID USERID bitch my daddys name  USERID  USERID you got two capital letter in your fi   USERID ,bitch,1,Oct2011,1
33323, USERID  USERID USERID   USERID  USERID USERID fallin in love wit a hoe  USERID  USERID ,hoe,1,Oct2011,0
13532, USERID  USERID USERID   USERID  USERID USERID im not taking advice from no bitch that i wouldnt trade places with  USERID  USERID ,bitch,1,Oct2011,0
20180, USERID  USERID USERID   USERID  USERID USERID lol at girls acting like they play 2k hahaha  USERID bitch you know you dont know wtf you doing  USERID ,bitch,1,Oct2011,1
5622, USERID  USERID USERID   USERID  USERID USERID nama kok nanggung hyun bin bin siapa yang lengkap dong  USERID ,dong,1,Oct2011,0
20149, USERID  USERID USERID   USERID  USERID USERID shout out to the young bitches  USERID  USERID ,bitch,1,Oct2011,0
15047, USERID  USERID USERID   USERID  USERID USERID why you so worried about my life for  like damn   USERID ,damn,2,Oct2011,1
10590," USERID  USERID USERID   USERID USERID  sistaa everybody want fight us 
looks like cause they jealous   they diy 
but we to fucking  USERID USERID   USERID ",fuck,7,Oct2011,1
15727, USERID  USERID USERID   USERID erky as shit   USERID ,shit,7,Oct2011,1
12556, USERID  USERID USERID   USERID whurr muhfuckas claim ta have swagg but errbodi look da same oo  USERID ,fuck,7,Oct2011,1
2421, USERID  USERID USERID   would leave all these hoes alone  USERID  USERID ,hoe,1,Oct2011,1
2643, USERID  USERID USERID  29th drive seeking to employ sr project manager–ux  dev  biz  USERID USERID in phoenix az oct URL  USERID  USERID ,hoe,1,Oct2011,0
18156, USERID  USERID USERID  USERID   USERID USERID URL titleteamfollowwack class gtteamfollowwackltagt 21  USERID ,tit,1,Oct2011,0
32587, USERID  USERID USERID  USERID  USERID  USERID  sit downcause  USERID we get shit staed  lmao   USERID ,shit,7,Oct2011,1
18190, USERID  USERID USERID  USERID  USERID  USERID USERID  USERID  USERID USERID damn yall wassup smh  USERID ,damn,2,Oct2011,1
30433, USERID  USERID USERID  USERID  USERID  USERID USERID i hate twitter wisdom shut the fuck upp most of yall aint shit lol  USERID ,shit,7,Oct2011,1
2090, USERID  USERID USERID  USERID  USERID  USERID USERID i low key witnessed a girl go gay today«no  USERID ,gay,1,Oct2011,1
33966, USERID  USERID USERID  USERID  USERID  USERID USERID most of the lightskinned girls on my tl tweet irrelevant shit  USERID ,shit,7,Oct2011,1
1062, USERID  USERID USERID  USERID  USERID  USERID when a basic bitch think u subtweetin they non factor ass lol«ha  USERID ,bitch,1,Oct2011,0
37948, USERID  USERID USERID  USERID  USERID  USERID youre fucked up  USERID ,fucked up,6,Oct2011,1
33424, USERID  USERID USERID  USERID  USERID USERID   USERID USERID gone be fucked up tomorrow with the girls we def gettin it in tmrw remy goose circo  patron  USERID ,fucked up,6,Oct2011,1
31118, USERID  USERID USERID  USERID  USERID USERID   USERID USERID some days i feel loved  others dont nobody fuck with me  USERID ,fuck,7,Oct2011,0
1212, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID  USERID do not check other site for toddler tennis shoesnow you go best site of toddle   USERID ,hoe,1,Oct2011,0
7453, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID   USERID USERID  USERID  USERID USERID  USERID  USERID USERID im getting sick of your attitude  USERID ,tit,1,Oct2011,0
7340, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID 3 words 8 letters could mean go to hell  USERID ,hell,2,Oct2011,0
2950, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID USERID oh ok halo mimin    minta tolong  USERID dong aku buka  USERID  USERID ,dong,1,Oct2011,0
18946, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID dear bitch pls stop talking behind me   USERID ,bitch,1,Oct2011,1
8884, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID hoe noem je een adoptiekind uit china afhaalchinees  USERID  USERID ,hoe,1,Oct2011,0
1396, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID mulutmulut gue trsrh gue dong mau ngmng apa  USERID ,dong,1,Oct2011,0
21226, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID  USERID USERID its a habit«one that needs stopping lt kmt«cunt  USERID ,cunt,1,Oct2011,0
29062, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID 1007 sleepy donghae at kbs building cras tagged URL  USERID ,dong,1,Oct2011,0
253, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID aint no sex like that we aint fucked in a while sex  USERID ,fuck,7,Oct2011,0
7818, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID b  USERID  USERID USERID ada yg mw di fllw  pilih2 dikit b dong3  USERID ,dong,1,Oct2011,0
1807, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID b  USERID USERID   USERID  USERID bantu dong kalo yg mau  USERID aja yg enggak mendingan gak  USERID ,dong,1,Oct2011,0
38001, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID eta pisan y  USERID  USERID USERID pngn ganti hp dong mah pah   USERID ,dong,1,Oct2011,0
6970, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID im getting sick of your attitude  USERID ,tit,1,Oct2011,1
12278, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID im so territorial shit is rediculous  USERID ,shit,7,Oct2011,1
38470, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID jadi temen gue kok kalo cuma ada mau nya doang go to hell aja  USERID ,cum,1,Oct2011,0
9381, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID limit  USERID dong  USERID ,dong,1,Oct2011,0
28863, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID mad at  USERID USERID  hmph  we still fuckin tonight ltlt yeah duh  USERID ,fuck,7,Oct2011,1
5939, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID mention dong  USERID ,dong,1,Oct2011,0
28983, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID why keep fucking with the same person if they aint gonna change  USERID ,fuck,7,Oct2011,1
4703, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID wie the fuck zijn feit en mening  hahaha echt he s • ahaahhaahhah • mpp hahhaha  USERID ,fuck,7,Oct2011,1
7425, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID wie wilt bb 9700 kopen meld me  hoeveel  9780 voor 130  USERID ,hoe,1,Oct2011,0
22689, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID you brought up my name i could give a fuck about your life  USERID ,fuck,7,Oct2011,0
2140, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID youre bitch girl  fuck  mind fucker   USERID ,bitch,1,Oct2011,1
3720, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID youre mad youre angry hey you never think my feel its hu and broken fuckyou  USERID ,fuck,7,Oct2011,1
23713, USERID  USERID USERID  USERID  USERID USERID  USERID  USERID USERID “ilovebecky these the real ballers that other shit baby money URL  USERID ,shit,7,Oct2011,0
35380, USERID  USERID USERID  USERID  USERID USERID  USERID  w a i t i n g gtgtgtgtgtdamnright i hate dat shit with a passion  USERID ,damn,2,Oct2011,0
286, USERID  USERID USERID  USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck cap christian they faggets  USERID  USERID ,fag,1,Oct2011,0
9077, USERID  USERID USERID  USERID  USERID USERID  USERID USERID  USERID anak rj yang rese itu mention dong orangnya kalo berani ufufufufu  USERID  USERID ,dong,1,Oct2011,0
7771, USERID  USERID USERID  USERID  USERID USERID  USERID USERID can anyone help save the coastguards just sign now last chance today petition htt   USERID ,tit,1,Oct2011,1
3495, USERID  USERID USERID  USERID  USERID USERID  USERID USERID geen idee o  khoef het ook niet te weten   hahah pff  USERID ,hoe,1,Oct2011,0
34358, USERID  USERID USERID  USERID  USERID USERID  USERID USERID i keep it 100and aint nobody gone fuck with meoh oh oh oh pow  USERID ,fuck,7,Oct2011,0
30634, USERID  USERID USERID  USERID  USERID USERID  USERID USERID is not bullshittin out here good shit bro  USERID USERID preciate that bro  USERID  USERID ,shit,7,Oct2011,0
22492, USERID  USERID USERID  USERID  USERID USERID  USERID USERID lol maybe she tryna get more followers lthell yea but she need a beautician cuz d   USERID ,hell,2,Oct2011,1
28555, USERID  USERID USERID  USERID  USERID USERID  USERID USERID mikes mix up  snookies a hoe  lt lol now that was honest  USERID  USERID ,hoe,1,Oct2011,0
17254, USERID  USERID USERID  USERID  USERID USERID  USERID USERID not hating at all fool she just some shit and she illuminati  USERID  USERID USERID   USERID ,shit,7,Oct2011,1
6565, USERID  USERID USERID  USERID  USERID USERID  USERID USERID s deze gare hans   kijk hoe goed ik je ken eh  ik wist gewoon dat jij dat niet was x  USERID ,hoe,1,Oct2011,0
35280, USERID  USERID USERID  USERID  USERID USERID  USERID USERID shut up sis lol you always call me a  hot dick shawty  USERID   USERID ,slut,1,Oct2011,1
531, USERID  USERID USERID  USERID  USERID USERID  USERID akaworldwide in the run up to saturday we running a few competitions cont URL  USERID ,tit,1,Oct2011,0
13248, USERID  USERID USERID  USERID  USERID USERID  USERID fucks with you « well in that case fuck you  have a bad day  USERID ,fuck,7,Oct2011,1
19818, USERID  USERID USERID  USERID  USERID USERID  USERID i l0ve you  youre a piece of shit tho  fuck you   USERID southpark   USERID ,shit,7,Oct2011,1
37470, USERID  USERID USERID  USERID  USERID USERID  USERID i was pissed that twitter was down amp then became cont URL  USERID ,pissed,7,Oct2011,1
29450, USERID  USERID USERID  USERID  USERID USERID  the new movement either you fucking with it or you losing   USERID  USERID ,fuck,7,Oct2011,1
28569, USERID  USERID USERID  USERID  USERID USERID a relationship without respect will never work tru shit  USERID ,shit,7,Oct2011,1
17998, USERID  USERID USERID  USERID  USERID USERID all my niggers cuffed up except me  USERID ,nigger,0,Oct2011,1
