text,sentiment
USERID USERID  USERID USERID  USERID  USERID USERID so heated that im bout to sock the shit out of you 2morrow at school for no reason  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID btw u tlk shit but didnt we beat u on bio uplink 3 on 4  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID how about we all grow the fuck up and stop  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID ive seen camel toes bigger than  USERID USERID  USERID USERID dick  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID to watch he so the 15 didnt mean shit  USERID ,0
" USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID dick rider i know
rrahys  USERID ",0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID at the same time lies damn lies and statistics food for thought  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID aw damn  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID drop it then give them fucking hell for real i want them to die  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID its true though lmao look at the skank for christs sakes  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID no argument here unanimous consensus is sagarika ghosh is a bitch  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID yeah u are a fucking pussy puppet nerd  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID 1 phat shaved py damn its so hm  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID bitch gtf for i bat tf out you amp send you for cousin  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID blah blah same old shit  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID bloody hell 80 wow thanks for this btw  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID damn  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID fat of shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID hahaha  USERID what the fuck why cant they face their own fights  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID holy shit omg  USERID USERID  USERID USERID  USERID USERID i love you morgan  USERID USERID  USERID USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID im always pissed  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID man im pissed dropped almost 300 places in calculations  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID raj you told me to go short you little wanker what the fuck is this  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID shit crazy  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID USERID stfu garvey well run out of character pussy  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID  USERID that wont real that shit goat status  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID bitch shut up i was answering his question  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID cie dong aw aw ‾̣‾̣cie  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID cool story my dude nobody gives a fuck  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID damn daryl dixon is about play rambo go daryl go daryl  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID damn david fucking up  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID damn got me  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck me  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID fuck yeah  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID fucking hell michael why you do this to me  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID good shit  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID haha fuck it we could try and hel yeah  USERID USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID hell nah  USERID we acting up  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID hell ya  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID hes a fraud  USERID a true rip off cockney c just look at the shit he serves up  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID hm fuck off  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID holy fuck is dis real  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID holy shit i loved backstage brawl closest to they live as anything ive seen  USERID ,0
" USERID USERID  USERID USERID  USERID USERID  USERID USERID hot
nice big cock p  USERID ",0
USERID USERID  USERID USERID  USERID USERID  USERID USERID i dont give a shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID i literally point and that shit happens  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID ikr they too pussy to man up  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID im honestly pissed he doesnt do anything im sorry  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID im marking the fuck out for this  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID it was ok for 10s of yrs to beat rape and spit on us but 1 bitch says fuck yall  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID just like you bitch  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID lmfao hell naww  USERID found me nep  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID me amp daisy arent banging pat  USERID lmao smhwell why the fuck not  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID mos broke the elm house story if you read the shit mark says youd be waiting years  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID need me an ol ugly ass honor roll bitch  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID oh wait i only beat my dick these days  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID ok bitch you try going through all these to prove a point  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID omg t she called you shit you must be heart broken  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID our band is shit  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID so like if you tryna slide thru the 6 maybe with your woes i know how that shit go  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID so that sharing clothes shit not true  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID that night everyone was absolutely shit faced  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID this is about u pussy  USERID ,0
USERID USERID  USERID USERID  USERID USERID  USERID USERID ur mother fucking india doesnt have toilets even u assholes shit on streets u bastards  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID vote greens last  USERID they are full of shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID well wherever she lands her future employers will know shes a pile of shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID who knows everyones always tough on twitter talkin shit to women tho smh  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID yeawhen americans more worried about who bakes your damn wedding cake than gays being murdered  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID yes hes serious too damn serious for his own good realizing mistakes is gonna be painful for him  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID USERID you just wanna see him lick his fingers hell we all do URL  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID he got hell of defense  USERID ,1
USERID USERID  USERID USERID  USERID USERID  USERID hell yeah dude wwe fan fo life  USERID ,0
USERID USERID  USERID USERID  USERID USERID ah thank god finally ive been just walking into shit in the dark all the timenow ill just needle my eyes  USERID ,0
USERID USERID  USERID USERID  USERID USERID arbys is that true shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID are you stupid do you even know where the word nigger originates from ignorant fool  USERID ,1
USERID USERID  USERID USERID  USERID USERID at least i can get one unlike you and ill be able to he a job and im still a guy bitch  USERID ,1
USERID USERID  USERID USERID  USERID USERID aw thats like a ding dong fairytale  USERID ,0
USERID USERID  USERID USERID  USERID USERID bitch you aint down  USERID ,0
USERID USERID  USERID USERID  USERID USERID bro its not even worth it  USERID USERID you know you will get these dirty as hell  USERID ,1
USERID USERID  USERID USERID  USERID USERID chillout i said what i hada say ian in shit im just bein  USERID  USERID that back n forth cool but ooc shit nah  USERID ,0
USERID USERID  USERID USERID  USERID USERID come meet me halfway no bitch  USERID ,0
USERID USERID  USERID USERID  USERID USERID damn  USERID ,0
USERID USERID  USERID USERID  USERID USERID damn it cameron  USERID ,0
USERID USERID  USERID USERID  USERID USERID damn real shit though  USERID ,0
USERID USERID  USERID USERID  USERID USERID damn thats ur ex stop  USERID ,1
USERID USERID  USERID USERID  USERID USERID damn took you 30 secs to reply though super fast  USERID ,1
" USERID USERID  USERID USERID  USERID USERID dude maturity is admitting you fucked up for saying you were a girl on the internet
grow the fuck up  USERID ",1
USERID USERID  USERID USERID  USERID USERID foles still didnt do shit dont know why youre so hype about him hes a backup qb  USERID ,1
USERID USERID  USERID USERID  USERID USERID fuck  USERID ,0
USERID USERID  USERID USERID  USERID USERID fuck me if i was her id cheat on myself  USERID ,1
USERID USERID  USERID USERID  USERID USERID fuck me right youre so talented  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID fuck michaelbath right up his greasy asshole  USERID ,1
USERID USERID  USERID USERID  USERID USERID fuck no we arent who the fuck said some stupid fucking shit like that  USERID ,1
USERID USERID  USERID USERID  USERID USERID fuck that  USERID ,1
USERID USERID  USERID USERID  USERID USERID fuck you  USERID ,1
USERID USERID  USERID USERID  USERID USERID fuck you ez not funny  USERID ,1
USERID USERID  USERID USERID  USERID USERID give envy bitch ass dunkey for da pillow talk wit da thot  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID got that ass drunk  USERID we was fucked up  USERID ,1
USERID USERID  USERID USERID  USERID USERID haha its so easy to talk shit on twitter isnt it  USERID ,0
USERID USERID  USERID USERID  USERID USERID hell never be the same  USERID ,1
USERID USERID  USERID USERID  USERID USERID hell why not  USERID USERID if my guysgirl can play it we will never hurts  USERID USERID we do to challenge ourselves  USERID USERID so if we fall a  USERID ,0
USERID USERID  USERID USERID  USERID USERID hell yeah i think so toobut wisconsin gone give kentucky a run so i wouldnt b shock kentucky l  USERID ,0
USERID USERID  USERID USERID  USERID USERID hell yeah we is  USERID ,0
USERID USERID  USERID USERID  USERID USERID hes just full of shit interracial marriages are beautiful  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID hey whore  USERID ,0
USERID USERID  USERID USERID  USERID USERID his bio ozil admirer says it all complete retard  USERID ,1
USERID USERID  USERID USERID  USERID USERID holy fuck  USERID ,1
USERID USERID  USERID USERID  USERID USERID holy fuck ive been waiting for this  USERID ,1
USERID USERID  USERID USERID  USERID USERID hot damn happy anniversary guys  USERID ,0
USERID USERID  USERID USERID  USERID USERID how long do we have to wait damn it can be a song lol  USERID ,1
USERID USERID  USERID USERID  USERID USERID hows she a slut lol you guys dont even know her  USERID ,1
USERID USERID  USERID USERID  USERID USERID i cant get this shit anymore and idk  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID i dont know what it is im just glad to see him do it hes constantly getting shit on  USERID ,1
USERID USERID  USERID USERID  USERID USERID i dont think he be on twitter  USERID USERID i know he be on instagram tho ima about to light is shit up lol  USERID ,1
USERID USERID  USERID USERID  USERID USERID i have who the fuck cares about how many tweets you have  USERID ,1
USERID USERID  USERID USERID  USERID USERID i love them so damn much  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID i think they are doing pretty damn good all things considered  USERID ,0
USERID USERID  USERID USERID  USERID USERID i think you guys yang selalu fuck things up  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID i was back in the day im trying to watch tht shit too tho  USERID ,0
USERID USERID  USERID USERID  USERID USERID i was like damn a titan x  USERID ,0
USERID USERID  USERID USERID  USERID USERID if my grades miraculously reach 3rd honors hell yes my strat aint cutting it with all the noise  USERID ,1
USERID USERID  USERID USERID  USERID USERID im black fuck spelling man  USERID ,1
USERID USERID  USERID USERID  USERID USERID ima fuck you up jenny  USERID ,0
USERID USERID  USERID USERID  USERID USERID is it really professional to shit talk louis to get your opinion across  USERID ,1
USERID USERID  USERID USERID  USERID USERID its only a few guys taking a shit together using that shower room stare straight ahead  USERID ,0
USERID USERID  USERID USERID  USERID USERID jags so shit theres no jokes about them  USERID ,1
USERID USERID  USERID USERID  USERID USERID k bitch i dont miss you either  USERID ,0
USERID USERID  USERID USERID  USERID USERID link like shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID lol fuck jl and zip tan money  USERID  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID lol i would have wrecked all my shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID lol then you should stop claiming youre selena the whole damn  USERID URL  USERID ,1
USERID USERID  USERID USERID  USERID USERID lol this fucker ha meet his ass and beefed him  USERID ,1
USERID USERID  USERID USERID  USERID USERID man how funny are you i could roast ya shit but im real friend  USERID ,0
USERID USERID  USERID USERID  USERID USERID me 2 fuck ur wagers  USERID ,1
USERID USERID  USERID USERID  USERID USERID more like a dick with ears  USERID ,1
USERID USERID  USERID USERID  USERID USERID motherfucker  USERID ,1
USERID USERID  USERID USERID  USERID USERID motherfucker azri till now has yet to accept my following  USERID ,1
USERID USERID  USERID USERID  USERID USERID no bitch  USERID ,1
USERID USERID  USERID USERID  USERID USERID no bosh no james no mike miller no ray allen there is no way in hell yall are better lmfao  USERID ,0
USERID USERID  USERID USERID  USERID USERID o well fuck it  USERID ,0
USERID USERID  USERID USERID  USERID USERID oh fuck off  USERID ,1
USERID USERID  USERID USERID  USERID USERID oh fuck scared me for a moment  USERID USERID lol  USERID USERID i thought it was a cat or something else  USERID ,1
USERID USERID  USERID USERID  USERID USERID oh shit  USERID ,0
USERID USERID  USERID USERID  USERID USERID oh shit oops  USERID x  USERID ,1
USERID USERID  USERID USERID  USERID USERID oh shit oops my bad lol tagged you in the wrong thing  USERID ,1
USERID USERID  USERID USERID  USERID USERID ok then shut the fuck up  USERID ,1
USERID USERID  USERID USERID  USERID USERID okk sounds like a plan n lol  USERID n me drunk is the funniest shit ever  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID or as you could call it a revolting door shit comes in shit goes out again  USERID ,0
USERID USERID  USERID USERID  USERID USERID or you fuck your shit up haha you choose  USERID ,0
USERID USERID  USERID USERID  USERID USERID paisleybhoy a fenian cunt this is fine for these reprobates but find offence at hun  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID pt 4 frustrating to watch miami shit on mls while sac does everything right sacramento proud  USERID ,1
USERID USERID  USERID USERID  USERID USERID qwezey is talking a shit wont be long hopefully we can kill in this host  USERID ,0
USERID USERID  USERID USERID  USERID USERID r u fucking fr rn damn  USERID ,1
USERID USERID  USERID USERID  USERID USERID retweet dong kl so sweetlt3  USERID ,0
USERID USERID  USERID USERID  USERID USERID season finished thursdaybut talk shit  USERID ,0
USERID USERID  USERID USERID  USERID USERID shabaz dont confront me about anything he goes to u ur his bitch u vulnerable worker  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID she  USERID USERID got a binder type shit coupons hell yea bro be tryna price match i be irritated as hell  USERID ,1
USERID USERID  USERID USERID  USERID USERID she aint shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID she can still get this dick  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID she didnt even know about that until this bitch brought it back up 3months later  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID shit  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID shit just go with the beatle  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID shit we dont know that  USERID we havent seen nada so im not gone trust my instincts  USERID ,1
USERID USERID  USERID USERID  USERID USERID so does your slut  USERID ,1
" USERID USERID  USERID USERID  USERID USERID so majority couldnt rule and screw the rest overso much for that

22  USERID ",0
USERID USERID  USERID USERID  USERID USERID so treat me like one or shut the fuck up  USERID ,0
USERID USERID  USERID USERID  USERID USERID standard aucc with people like hallam in the commitee i can imagine it being full of shit  USERID  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID stereo hearts was my shit back then  USERID ,0
USERID USERID  USERID USERID  USERID USERID stupid bitches i got some for yall ass tommorow we still doing the session  USERID ,0
USERID USERID  USERID USERID  USERID USERID that shit was days ago leave him alone him and the third party have reconciled move around  USERID ,1
USERID USERID  USERID USERID  USERID USERID thats that coughing shit huh  USERID ,0
USERID USERID  USERID USERID  USERID USERID their gonna eat that shit up  USERID  USERID ,0
USERID USERID  USERID USERID  USERID USERID thing is wed shit on your clan  USERID ,0
USERID USERID  USERID USERID  USERID USERID this is the cutest shit ive ever seen holy shit  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID tight vid i added 2 my fuck vids  USERID USERID  USERID USERID lol  USERID ,0
USERID USERID  USERID USERID  USERID USERID tommorow bitch  USERID ,0
USERID USERID  USERID USERID  USERID USERID too hot hot damn  USERID URL  USERID ,1
USERID USERID  USERID USERID  USERID USERID tyler i swear i will kick the shit out of you  USERID ,0
USERID USERID  USERID USERID  USERID USERID u cant get an assist in singles dumb fuck  USERID ,1
USERID USERID  USERID USERID  USERID USERID u dick im a bull haha u milked my dick  USERID ,0
USERID USERID  USERID USERID  USERID USERID u guys r gonna tired of hearing it but damn u mcclain  USERID ,0
USERID USERID  USERID USERID  USERID USERID unfollow me immediately you horrible cunt  USERID ,1
USERID USERID  USERID USERID  USERID USERID ur a fucking liar no one pissed anywhere u little bitch  USERID ,0
USERID USERID  USERID USERID  USERID USERID usch fuck off ella  USERID ,1
USERID USERID  USERID USERID  USERID USERID vince said completely said fuck the us  USERID ,1
USERID USERID  USERID USERID  USERID USERID what a cunt haha  USERID ,1
USERID USERID  USERID USERID  USERID USERID what the hell is a creme puff  USERID ,1
USERID USERID  USERID USERID  USERID USERID when judgemental bitches think they know shit  USERID ,0
USERID USERID  USERID USERID  USERID USERID where do you get all that money from  USERID selling xanax you fucking retard you rob people  USERID ,1
USERID USERID  USERID USERID  USERID USERID why are you sorry for shit of a person you dont care for  USERID  USERID  USERID ,1
USERID USERID  USERID USERID  USERID USERID why are you telling him to shut up deficit said shit about him to start this  USERID ,1
USERID USERID  USERID USERID  USERID USERID why dont you shut the fuck up and he doesnt have to pretend to be one  USERID ,1
USERID USERID  USERID USERID  USERID USERID wtf dont tag me in this shit  USERID ,1
USERID USERID  USERID USERID  USERID USERID yea i seen good shit beating the bucks for us salute  USERID ,0
USERID USERID  USERID USERID  USERID USERID yeah fuck off beca  USERID ,1
USERID USERID  USERID USERID  USERID USERID yeah well ive never actually taped that shit to my hands  USERID ,1
USERID USERID  USERID USERID  USERID USERID yes but im better than your entire family and youll all rot in hell ijn  USERID ,0
USERID USERID  USERID USERID  USERID USERID yes fuck the word bae  USERID ,0
USERID USERID  USERID USERID  USERID USERID yes twins and shit  USERID ,0
USERID USERID  USERID USERID  USERID USERID yo everyone is leaving for break figgity figgity fucking pissed  USERID ,1
USERID USERID  USERID USERID  USERID fuck 50 shades i like shades of cool  USERID  USERID ,0
USERID USERID  USERID USERID  USERID fuck this guy man worst guy is he eating it all by himself trash man  USERID ,1
USERID USERID  USERID USERID  USERID fucking piece of shit atnt  USERID ,1
USERID USERID  USERID USERID  USERID hella pissed stupid islands of adventure  USERID ,1
USERID USERID  USERID USERID  USERID i heard that shit too lol im in tears  USERID  USERID ,1
USERID USERID  USERID USERID  USERID i played like shit  USERID ,0
USERID USERID  USERID USERID  USERID link was on for two mins and he goes positive  USERID you guys all went neg  USERID mathius your shit  USERID go quit please  USERID ,1
USERID USERID  USERID USERID  USERID love you little shit face  USERID ,0
USERID USERID  USERID USERID  USERID monday morning wont be as bad then give em hell  USERID  USERID ,0
USERID USERID  USERID USERID  USERID my hg side his dick smell like piss and  USERID she didnt even suck it  USERID i said ew  USERID ,1
USERID USERID  USERID USERID  USERID oh bitch stop  USERID ,1
USERID USERID  USERID USERID  USERID oh hell  USERID ,0
USERID USERID  USERID USERID  USERID shit chea ole girl than gave her an idea  USERID ,1
USERID USERID  USERID USERID  USERID shut that shit up  USERID ,1
USERID USERID  USERID USERID  USERID that shit is pulled out and gone  USERID ,1
USERID USERID  USERID USERID  USERID they the shit bro  USERID ,0
USERID USERID  USERID USERID  USERID we argue about the stupidest shit ever but at the end of the day we chill  USERID  USERID ,0
USERID USERID  USERID USERID  USERID well they are shit madrid cock suckers  USERID  USERID ,1
USERID USERID  USERID USERID URL he got knocked the fuck out  USERID ,1
USERID USERID  USERID USERID URL wow  USERID nigga did some wade from kim possible type shit  USERID ,0
USERID USERID  USERID USERID a great cook ryan is a pretty damn good cook  USERID ,0
USERID USERID  USERID USERID a lot of those gals list religion as christian  USERID USERID when i see a christian i run like hell  USERID USERID glad i am atheist  USERID ,0
USERID USERID  USERID USERID a shit band sws is where its at  USERID ,1
USERID USERID  USERID USERID again if you dont fucking understand mental illnesses you can kindly fuck off youre doing more damage  USERID ,1
USERID USERID  USERID USERID ah shit hear  USERID ,0
USERID USERID  USERID USERID ah wait fuck so thats why i keep getting sleepy when i shower at night to study more damn  USERID  USERID ,0
USERID USERID  USERID USERID and be prepared for me to vinesnaplive tweet that shit  USERID ,1
USERID USERID  USERID USERID and she ugly as fuck so  USERID ,1
USERID USERID  USERID USERID and so did i so shut up hahaha sitting saying shes shit when u got about 5 mins at 15s  USERID ,1
USERID USERID  USERID USERID and their win percentage is what  USERID cmon  USERID how many games did they win  USERID more shit journalism  USERID  USERID  USERID ,1
USERID USERID  USERID USERID answer another prospect for the leafs to screw up  USERID ,1
USERID USERID  USERID USERID anytime kolt remember blood is thicker than a piece of shit see you soon  USERID ,0
USERID USERID  USERID USERID as i said earlier fuck off  USERID ,1
USERID USERID  USERID USERID asians everywhere yall know damn well what im talking about URL  USERID ,0
USERID USERID  USERID USERID at your height you would be standing up sucking his dick  USERID ,1
USERID USERID  USERID USERID attention whore lol  USERID ,0
USERID USERID  USERID USERID aye fuck you guys  USERID USERID  USERID ,0
USERID USERID  USERID USERID baby you obviously do if youre still  USERID USERID ing us and giving a shit aw  USERID run on back to your crumbling fandom  USERID ,1
USERID USERID  USERID USERID baleigh your cool as shit so stop being immature i want nothing at all to do with daltons ass  USERID ,0
USERID USERID  USERID USERID bc he thinks hes the shit since he speaks french  USERID ,1
USERID USERID  USERID USERID because youre a fucking cunt  USERID ,1
USERID USERID  USERID USERID beggar chill b auto correct was dick eating  USERID ,1
